nom;presences;absences
Myriam Traversa;5;10
Michel Audran;13;2
Bernard Bruno;13;1
Louis Derumaux;10;4
Daniel Jugy;29;0
Jean-pierre Toulouse;27;4
Danielle Daube;21;10
Philippe Pouleau;25;4
Karine Esmiol;7;8
Catherine Fontaine;7;4
Fabienne Salado;19;3
Odile Mouzard;7;0
Yves Blanchet;14;1
Philippe Perrodo;11;2
Philippe Schodet;11;4
Marion Justrabo;9;8
Elisabeth Pereira;12;4
Patrice Revah;14;1
Sylviane Lauro;10;8
Stéphane Jouve;8;2
Fabienne Jouve;14;1
Charles Speth;25;4
Julien Pons;8;6
Antonio Perez;13;2
